Label,Speech
No Ad Hominem,"We’re going to choose hope over fear. We’re going to choose to move forward because we have enormous opportunities, enormous opportunities to make things better. We can grow this economy."
No Ad Hominem,We now have five nations that have atomic bombs that we know about. If we continue under Mr. Ford's policy by 1985 or '90 we'll have twenty nations that have the capability of exploding atomic weapons. This has got to be stopped. That is one of the major challenges and major undertakings that I will assume as the next president.
No Ad Hominem,"The Bishop of that very church said that it was a disgrace. The general who was with him said “All he ever wants to do is divide people, not unite people at all.” This is a president who has used everything as a dog whistle, to try to generate racist hatred, racist division. This is a man who, in fact, you talk about helping African - Americans, one in 1000 African Americans has been killed because of the coronavirus."
No Ad Hominem,"It's a black church just outside of Washington, DC. And I read in the bulletin about teenage pregnancies, about the difficulties that families are having to make ends meet. I talk to parents. I mean, you've got to care. Everybody cares if people aren't doing well. But I don't think it's fair to say, you haven't had cancer."
No Ad Hominem,"That we are, indeed, an energy - rich nation. Well, Mr. Greenberg, I simply cannot allow to go unpassed the statements that have just been made by Mr. Reagan, who once again, has demonstrated, I think, a total misunderstanding of the energy crisis that confronts, not only this country, but the world, when he suggests that we have 27 years' supply of natural gas, 47 years' supply of oil, and all the rest, and that we really. all we have to do is to get the Government off the back of the oil industry, and that's going to be enough."
No Ad Hominem,"President Bush recently sent a senior ambassador, Bill Burns, to participate in talks with the Europeans around the issue of nuclear weapons. Again, it may not work, but if it doesn't work, then we have strengthened our ability to form alliances to impose the tough sanctions that Senator McCain just mentioned. And when we haven't done it, as in North Korea -- let me just take one more example -- in North Korea, we cut off talks."
No Ad Hominem,"I have devoted 24 years of my life to public service and I've said this before and I'll say it again, if you entrust me with the presidency, I may not be the most exciting politician, but I will work hard for you every day. I will fight for middle - class families and working men and women and I will never let you down. They ought to factor in it when they go to the voting booth."
No Ad Hominem,"There I took on everything from transnational criminal organizations, to the big banks that were taking advantage of homeowners, to for profit colleges that were taking advantage of veterans. And then, of course, now I serve in the United States Senate as only the second black woman ever elected to the United States Senate. I serve on the Senate Intelligence Committee where I’ve been in regular receipt of classified information about threats to our nation and hotspots around the world."
No Ad Hominem,"And to spend billions and billions of dollars as Mr. Bush apparently wants to, although, he, himself has been all over the lot on this issue lately - on Star Wars - in my judgment makes no sense at all. We need a strong, credible, effective nuclear deterrent. We have 13,000 strategic nuclear warheads right now on land, on sea and in the air, enough to blow up the Soviet Union forty times over."
No Ad Hominem,"It comes out of a general fund, but something should be done about it. I think it is disgraceful that the Disability Insurance Fund in Social Security finds checks going every month to tens of thousands of people who are locked up in our institutions for crime or for mental illness, and they are receiving disability checks from Social Security every month while a state institution provides for all of their needs and their care. I think this debate on Social Security, Medicare, national health insurance typifies, as vividly any other subject tonight, the basic historical differences between the Democratic Party and Republican Party."
No Ad Hominem,"There was a very dangerous period in my first three months, before we sort of worked things out a little bit. They left us a mess, and Obama would be – I think, the first to say — it was the single biggest problem, he thought, that our country had."
