full_name,last_name,party,function,role,cabinet,start_date,end_date
Louis Beel,Beel,RKSP,Minister,Binnenlandse Zaken,Schermerhorn-Drees,25 juni 1945,21 december 1945
Willem Drees,Drees,SDAP,Minister,Sociale Zaken,Schermerhorn-Drees,25 juni 1945,8 februari 1946
Hans Kolfschoten,Kolfschoten,RKSP,Minister,Justitie,Schermerhorn-Drees,25 juni 1945,21 december 1945
Piet Lieftinck,Lieftinck,CHU,Minister,Financiën,Schermerhorn-Drees,25 juni 1945,8 februari 1946
Johann Logemann,Logemann,Partijloos,Minister,Overzeese Gebiedsdelen,Schermerhorn-Drees,25 juni 1945,8 februari 1946
Sicco Mansholt,Mansholt,SDAP,Minister,"Voedselvoorziening, Landbouw en Visserij",Schermerhorn-Drees,25 juni 1945,5 oktober 1945
Jo Meynen,Meynen,ARP,Minister,Oorlog,Schermerhorn-Drees,25 juni 1945,2 juli 1946
Johan Ringers,Ringers,Partijloos,Minister,Openbare Werken,Schermerhorn-Drees,25 juni 1945,31 augustus 1945
Willem Schermerhorn,Schermerhorn,VDB,Minister,Minister-president,Schermerhorn-Drees,25 juni 1945,8 februari 1946
Willem Schermerhorn,Schermerhorn,VDB,Minister,Algemene Oorlogsvoering,Schermerhorn-Drees,25 juni 1945,8 februari 1946
Hein Vos,Vos,SDAP,Minister,Handel en Nijverheid,Schermerhorn-Drees,25 juni 1945,8 februari 1946
Jim de Booy,de Booy,Partijloos,Minister,Marine,Schermerhorn-Drees,25 juni 1945,2 juli 1946
Jim de Booy,de Booy,Partijloos,Minister,Scheepvaart,Schermerhorn-Drees,25 juni 1945,2 juli 1946
Eelco van Kleffens,van Kleffens,Partijloos,Minister,Buitenlandse Zaken,Schermerhorn-Drees,25 juni 1945,2 juli 1946
Herman van Roijen,van Roijen,Partijloos,Minister,Buitenlandse Zaken,Schermerhorn-Drees,25 juni 1945,2 juli 1946
Steef van Schaik,van Schaik,RKSP,Minister,Verkeer en Energie,Schermerhorn-Drees,25 juni 1945,21 december 1945
Gerard van der Leeuw,van der Leeuw,Partijloos,Minister,"Onderwijs, Kunsten en Wetenschappen",Schermerhorn-Drees,25 juni 1945,8 februari 1946
Johan Ringers,Ringers,Partijloos,Minister,Openbare Werken en Wederopbouw,Schermerhorn-Drees,1 september 1945,2 juli 1946
Sicco Mansholt,Mansholt,SDAP,Minister,"Landbouw, Visserij en Voedselvoorziening",Schermerhorn-Drees,6 oktober 1945,8 februari 1946
Louis Beel,Beel,KVP,Minister,Binnenlandse Zaken,Schermerhorn-Drees,22 december 1945,2 juli 1946
Hans Kolfschoten,Kolfschoten,KVP,Minister,Justitie,Schermerhorn-Drees,22 december 1945,2 juli 1946
Steef van Schaik,van Schaik,KVP,Minister,Verkeer en Energie,Schermerhorn-Drees,22 december 1945,2 juli 1946
Willem Drees,Drees,PvdA,Minister,Sociale Zaken,Schermerhorn-Drees,9 februari 1946,2 juli 1946
Piet Lieftinck,Lieftinck,PvdA,Minister,Financiën,Schermerhorn-Drees,9 februari 1946,2 juli 1946
Johann Logemann,Logemann,PvdA,Minister,Overzeese Gebiedsdelen,Schermerhorn-Drees,9 februari 1946,2 juli 1946
Sicco Mansholt,Mansholt,PvdA,Minister,"Landbouw, Visserij en Voedselvoorziening",Schermerhorn-Drees,9 februari 1946,2 juli 1946
Willem Schermerhorn,Schermerhorn,PvdA,Minister,Minister-president,Schermerhorn-Drees,9 februari 1946,2 juli 1946
Willem Schermerhorn,Schermerhorn,PvdA,Minister,Algemene Oorlogsvoering,Schermerhorn-Drees,9 februari 1946,2 juli 1946
Hein Vos,Vos,PvdA,Minister,Handel en Nijverheid,Schermerhorn-Drees,9 februari 1946,2 juli 1946
Gerard van der Leeuw,van der Leeuw,PvdA,Minister,"Onderwijs, Kunsten en Wetenschappen",Schermerhorn-Drees,9 februari 1946,2 juli 1946
Louis Beel,Beel,KVP,Minister,Minister-president,Beel I,3 juli 1946,6 augustus 1948
Louis Beel,Beel,KVP,Minister,Binnenlandse Zaken,Beel I,3 juli 1946,14 september 1947
Willem Drees,Drees,PvdA,Minister,Sociale Zaken,Beel I,3 juli 1946,6 augustus 1948
Alexander Fiévez,Fiévez,KVP,Minister,Oorlog,Beel I,3 juli 1946,6 augustus 1948
Alexander Fiévez,Fiévez,KVP,Minister,Marine,Beel I,3 juli 1946,6 augustus 1946
Jos Gielen,Gielen,KVP,Minister,"Onderwijs, Kunsten en Wetenschappen",Beel I,3 juli 1946,6 augustus 1948
Gerard Huysmans,Huysmans,KVP,Minister,Economische Zaken,Beel I,3 juli 1946,13 januari 1948
Jan Jonkman,Jonkman,PvdA,Minister,Overzeese Gebiedsdelen,Beel I,3 juli 1946,6 augustus 1948
Piet Lieftinck,Lieftinck,PvdA,Minister,Financiën,Beel I,3 juli 1946,6 augustus 1948
Sicco Mansholt,Mansholt,PvdA,Minister,"Landbouw, Visserij en Voedselvoorziening",Beel I,3 juli 1946,6 augustus 1948
