full_name,last_name,party,start_date,end_date
Martin Bosma,Bosma,PVV,14 december 2023,
Vera Bergkamp,Bergkamp,D66,7 april 2021,5 december 2023
Khadija Arib,Arib,PvdA,13 januari 2016,6 april 2021
Anouchka van Miltenburg,van Miltenburg,VVD,25 september 2012,12 december 2015
Gerdi Verbeet,Verbeet,PvdA,6 december 2006,20 september 2012
Frans Weisglas,Weisglas,VVD,28 mei 2002,30 november 2006
Jeltje van Nieuwenhoven,van Nieuwenhoven,PvdA,20 mei 1998,16 mei 2002
Piet Bukman,Bukman,CDA,3 december 1996,19 mei 1998
Wim Deetman,Deetman,CDA,14 september 1989,1 december 1996
Dick Dolman,Dolman,PvdA,17 juli 1979,13 september 1989
Anne Vondeling,Vondeling,PvdA,7 december 1972,16 juli 1979
Frans-Joseph van Thiel,van Thiel,KVP,29 januari 1963,6 december 1972
Rad Kortenhorst,Kortenhorst,KVP,13 augustus 1948,13 januari 1963
Josef van Schaik,van Schaik,RKSP,11 november 1937,7 augustus 1948
Piet Aalberse,Aalberse,RKSP,7 mei 1936,10 november 1937
Charles Ruijs de Beerenbrouck,Ruijs de Beerenbrouck,RKSP,31 mei 1933,17 april 1936
Josef van Schaik,van Schaik,RKSP,18 september 1929,26 mei 1933
Charles Ruijs de Beerenbrouck,Ruijs de Beerenbrouck,RKSP,17 september 1925,10 augustus 1929
Dionysius Koolen,Koolen,RKSP,14 oktober 1920,5 augustus 1925
Dirk Fock,Fock,LU,25 januari 1917,8 oktober 1920
