date,subject,speaker,party,text
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,"Aan de orde is het tweeminutendebat Staat van de Volkshuisvesting. Kunnen de mensen misschien gewoon even gaan zitten? Het commissiedebat vond plaats op 31 januari. Het is een debat met een zwart tintje, want wij nemen vandaag afscheid van de griffier van de commissie voor Binnenlandse Zaken, mevrouw Annemarijke de Vos. Het is de laatste keer dat ze bij ons is. Ze verlaat de Staten-Generaal om actief te worden in de mooie gemeente Zeist. We wensen haar heel veel succes. Ja, dat verdient applaus"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,"Toen dacht ik: kunnen we ook niet meteen een gedicht aan haar opdragen? Zeist kennen wij natuurlijk allemaal. Wat is de plaats van Zeist in de wereldliteratuur? Hendrik Marsman is er geboren. ""Denkend aan Holland zie ik breede rivieren"" et cetera, maar hij heeft natuurlijk heel veel meer geschreven. Ten afscheid van onze ingeliefde griffier heb ik het mooie gedicht ""Afscheid van het dorp"" van Hendrik Marsman. Dat luidt als volgt. De verte lokt. de zee en 't bronzen duin die golfden om mijn jeugd versmalden langzaam tot den kleinen tuin waarin mijn moeder nu begraven ligt. dit was haar raam, dit is de stille brink waarlangs zij schreed in 't vroege schemeruur. alles wat aan het leven vreugde gaf en vuur, zij heeft het meegenomen in haar graf. wat doe ik hier? wat kan ik hier nog doen? mijn moeder dood, mijn vrienden ver verspreid; en moederziel alleen loop ik de straten rond: mijn hart is zwaar en wijd. ik ga op weg naar onbekend verschiet, de heuvels over, naar een stroomgebied dat mijn verlangen stem geeft en de koorts der poëzie weer in mij aanblaast; meer begeer ik niet! Kracht der verbeelding, o, begeef mij niet! ik roep u aan met de verdorde stem van wanhoop en ontbering, zonder u kan ik niet verder gaan, de weg is lang en mijne kracht gering. ik heb om u mijn huis in asch gelegd, ik heb mijn moeder in haar graf gelegd en ben op weg gegaan, verlaat mij niet. in mijn bedroefde keel klopt een nieuw lied. Aldus Hendrik Marsman.Het is altijd moeilijk om dan weer over te gaan tot de orde van de dag, maar we doen het toch. Het is het tweeminutendebat Staat van de Volkshuisvesting. Een hartelijk woord van welkom aan de minister. De eerste spreker is de heer De Hoop van de fractie van GroenLinks-Partij van de Arbeid. Hij heeft zoals iedereen twee minuten spreektijd. Het woord is aan hem"
8 februari 2024,Staat van de Volkshuisvesting,De Hoop,GroenLinks-PvdA,"Dank, voorzitter. Ik heb vier moties, te beginnen met een motie op basis van de inbreng van de PVV. Ik denk dat dit het middel is om de huurstijging tegen te gaan. Het lijkt mij onmogelijk om hiertegen te stemmen, dus ik ben nieuwsgierig. Motie De Kamer, gehoord de beraadslaging, constaterende dat de huren in de sociale sector in 2024 met 5,8% stijgen; overwegende dat veel huurders hun rekeningen nu al niet kunnen betalen; verzoekt de regering te onderzoeken hoe de huurstijging dit jaar verder kan worden gematigd, en daar uiterlijk bij de Voorjaarsnota over te rapporteren aan de Kamer, en gaat over tot de orde van de dag"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,Deze motie is voorgesteld door het lid De Hoop. Zij krijgt nr. 1136 (32847)
8 februari 2024,Staat van de Volkshuisvesting,De Hoop,GroenLinks-PvdA,"De tweede motie. Motie De Kamer, gehoord de beraadslaging, constaterende dat er steeds minder woningen worden gebouwd en er mogelijk 12.000 banen op de tocht staan; overwegende dat dit onacceptabel is, gezien het enorme woningtekort; overwegende dat de SBI een succesvolle bijdrage heeft geleverd aan de woningbouw; verzoekt de regering om te onderzoeken hoe we de bouw gaande kunnen houden middels instrumenten als de SBI, om te voorkomen dat de bouw stilvalt, en opties ter dekking voor te leggen aan de Kamer,en gaat over tot de orde van de dag"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,Deze motie is voorgesteld door het lid De Hoop. Zij krijgt nr. 1137 (32847)
8 februari 2024,Staat van de Volkshuisvesting,Beckerman,SP,"Helemaal eens. De huurverhoging in de sociale sector kan 5,8% zijn. Dat moeten we niet doen. Maar mijn vraag gaat hierover: in het dictum van de motie op stuk nr. 1136 staat ""voor de Voorjaarsnota"". Het probleem is alleen dat verhuurders twee maanden vóór 1 juli, wanneer de huurverhoging ingaat, verplicht zijn om door te geven of ze die huurverhoging wel of niet doorvoeren. Dan zijn we bij de Voorjaarsnota toch te laat"
8 februari 2024,Staat van de Volkshuisvesting,De Hoop,GroenLinks-PvdA,"Ik denk dat mevrouw Beckerman een goede vraag stelt. Laten we in ieder geval vragen of deze zorg kan worden meegenomen bij de appreciatie. Ik heb namelijk hetzelfde belang als mevrouw Beckerman. We willen de huurders inderdaad voor die tijd kunnen helpen. De reden om die motie zo te formuleren, was het gegeven dat de motie zo is ingediend op 19 december. De PVV stemde daar toen tegen, dus ik heb dezelfde motie ingediend. Dat was toen met het idee dat het inderdaad op tijd geregeld kan worden; dat deel ik dus"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,Prima. Uw derde motie
8 februari 2024,Staat van de Volkshuisvesting,De Hoop,GroenLinks-PvdA,"De derde motie. Motie De Kamer, gehoord de beraadslaging, constaterende dat beleggers jaarlijks duizenden potentieel betaalbare huur- of koopwoningen van de hand doen; overwegende dat deze woningen soms erg duur worden verkocht of overgenomen door een belegger die de hoofdprijs vraagt; verzoekt de regering te onderzoeken of woningbouwcorporaties voorrang kunnen krijgen bij de aankoop van deze woningen, en gaat over tot de orde van de dag"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,Deze motie is voorgesteld door de leden De Hoop en Welzijn. Zij krijgt nr. 1138 (32847)
8 februari 2024,Staat van de Volkshuisvesting,De Hoop,GroenLinks-PvdA,"Dan mijn laatste motie, voorzitter. Motie De Kamer, gehoord de beraadslaging, constaterende dat er een groot tekort is aan betaalbare huurwoningen; overwegende dat woningcorporaties goed in staat zijn om betaalbaar te bouwen; verzoekt de regering om de Kamer in de eerste helft van 2024 te informeren over hoe woningcorporaties hun rol beter kunnen pakken bij de realisatie van betaalbare middenhuurwoningen, en gaat over tot de orde van de dag"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,Deze motie is voorgesteld door het lid De Hoop. Zij krijgt nr. 1139 (32847)
8 februari 2024,Staat van de Volkshuisvesting,De Hoop,GroenLinks-PvdA,Dan rest mij te zeggen dat ik uitkijk naar de behandeling van de Wet betaalbare huur
8 februari 2024,Staat van de Volkshuisvesting,Keijzer,BBB,"Ik ben nieuw in deze commissie, maar mij bekruipt toch een beetje het gevoel dat er hier in hele grote frames gesproken wordt over investeerders. Maar je hebt ook kleine particulieren van wie het pensioen zit in een of twee woningen die ze hebben. We hebben net met elkaar gesproken over het behandelen van de Wet betaalbare huur. Die kan voor hen tot een situatie leiden waarin ze daar uiteindelijk geen pensioen meer uit halen. Nu wil de fractie van de PvdA — dit doet me bijna denken aan een communistische heilstaat — dat ze hun vastgoed, als ze daar op een gegeven moment vanaf willen, alleen maar mogen verkopen aan een corporatie. Dit gaat er uiteindelijk toch niet voor zorgen dat we meer huurwoningen krijgen? Dát is de oplossing van het probleem van al die twintigers die bij hun ouders op zolder zitten: ervoor zorgen dat er meer woningen komen"
